model,fpr,tpr,threshold
Logistic Regression,0.1763409257898604,0.3208137715179969,0.583039339693309
Logistic Regression,0.17854518736223365,0.3208137715179969,0.5827739145674043
Logistic Regression,0.17854518736223365,0.325508607198748,0.5824812192897877
Logistic Regression,0.18148420279206465,0.325508607198748,0.5820823388684055
Logistic Regression,0.18148420279206465,0.3286384976525822,0.5816991120991328
Logistic Regression,0.18221895664952242,0.3286384976525822,0.5815127941444949
Logistic Regression,0.18221895664952242,0.3333333333333333,0.580807982547597
Logistic Regression,0.18295371050698017,0.3333333333333333,0.5804661871666836
Logistic Regression,0.18295371050698017,0.3348982785602504,0.5802746511049266
Logistic Regression,0.18368846436443792,0.3348982785602504,0.5801753365104142
Logistic Regression,0.18368846436443792,0.3380281690140845,0.5801565121180843
Logistic Regression,0.18442321822189567,0.3380281690140845,0.5799657350033526
Logistic Regression,0.18442321822189567,0.3395931142410016,0.5799015354831096
Logistic Regression,0.18515797207935342,0.3395931142410016,0.5798935390053321
Logistic Regression,0.18515797207935342,0.3411580594679186,0.5797455772785315
Logistic Regression,0.18956649522409993,0.3411580594679186,0.5776075740251642
Logistic Regression,0.18956649522409993,0.3427230046948357,0.5771308685231079
Logistic Regression,0.19103600293901543,0.3427230046948357,0.576746893551059
Logistic Regression,0.19103600293901543,0.3442879499217527,0.5766676641286029
Logistic Regression,0.19324026451138868,0.3442879499217527,0.5758763566129301
Logistic Regression,0.19324026451138868,0.3458528951486698,0.5756609889014628
Logistic Regression,0.19397501836884642,0.3458528951486698,0.5756111553793076
Logistic Regression,0.19397501836884642,0.350547730829421,0.5750999472811349
Logistic Regression,0.1961792799412197,0.350547730829421,0.5746391681665071
Logistic Regression,0.1961792799412197,0.352112676056338,0.5741400346264
Logistic Regression,0.19691403379867745,0.352112676056338,0.5736936811019557
Logistic Regression,0.19691403379867745,0.3536776212832551,0.5735518871904716
